"","School Name","URL","State","index"
"1893","Central Michigan University","http://cmich.edu","MI",1893
"1894","Kaplan University","http://kaplanuniversity.edu","IA",1894
"1895","Central Oregon Community College","http://cocc.edu","OR",1895
"1896","Lake Superior State University","http://lssu.edu","MI",1896
"1897","University of New England","http://une.edu","ME",1897
"1898","Alamance Community College","http://alamancecc.edu","NC",1898
"1899","Los Angeles Harbor College","http://lahc.edu","CA",1899
"1900","University of Sioux Falls","http://usioxfalls.edu","SD",1900
"1901","Husson University","http://husson.edu","ME",1901
"1902","Lansing Community College","http://lcc.edu","MI",1902
"1903","AIB College of Business","http://aib.edu","IA",1903
"1904","State University of New York","http://suny.edu","NY",1904
"1905","Arkansas Northeastern College","http://anc.edu","AR",1905
"1906","Concord University","http://concord.edu","WV",1906
"1907","Southern Polytechnic State University","http://spsu.edu","GA",1907
"1908","Joliet Junior College","http://jjc.edu","IL",1908
"1909","Northwest Missouri State University","http://nwmissouri.edu","MO",1909
"1910","Midlands Technical College","http://midlandstech.edu","SC",1910
"1911","Culinary Institute of America","http://ciachef.edu","NY",1911
"1912","Salisbury University","http://salisbury.edu","MD",1912
"1913","Widener University","http://widener.edu","PA",1913
"1914","Wichita State University","http://wichita.edu","KS",1914
"1915","Ursinus College","http://ursinus.edu","PA",1915
"1916","The College of New Jersey","http://tcnj.edu","NJ",1916
"1917","University of Arkansas – Fort Smith","http://uafs.edu","AK",1917
"1918","Calvin College","http://calvin.edu","MI",1918
"1919","Yosemite Community College District","http://yosemite.edu","CA",1919
"1920","Rivier University","http://rivier.edu","NH",1920
"1921","Upper Iowa University","http://uiu.edu","IA",1921
"1922","Slippery Rock University","http://sru.edu","PA",1922
"1923","Eastwick College","http://eastwickcollege.edu","NJ",1923
"1924","Quinebaug Valley Community College","http://qvcc.edu","CT",1924
"1925","Columbia University in the City of New York","http://columbia.edu","NY",1925
"1926","Southwestern Oregon Community  College","http://socc.edu","OR",1926
"1927","Brigham Young University Idaho","http://byui.edu","ID",1927
"1928","South Florida State College","http://southflorida.edu","FL",1928
"1929","Saint Ambrose University","http://sau.edu","IA",1929
